team,matches,attack,attack_std,defence,defence_std,net
Paris SG,178,0.5626,0.0506,0.3126,0.0695,0.8752
Marseille,178,0.2856,0.0560,0.1705,0.0632,0.4561
Lens,178,0.1684,0.0584,0.2744,0.0668,0.4428
Rennes,178,0.2734,0.0563,0.1158,0.0614,0.3892
Monaco,178,0.3132,0.0556,0.0736,0.0603,0.3868
Lille,178,0.1246,0.0595,0.2276,0.0650,0.3521
Lyon,178,0.2298,0.0574,0.0670,0.0599,0.2968
Nice,178,0.0289,0.0617,0.2144,0.0644,0.2433
Strasbourg,178,0.1111,0.0600,0.0575,0.0595,0.1687
Toulouse,139,0.0191,0.0694,0.0525,0.0655,0.0716
Paris FC,34,0.0537,0.1202,0.0036,0.1065,0.0573
Brest,178,0.0320,0.0619,0.0056,0.0580,0.0376
Reims,144,-0.1364,0.0724,0.1208,0.0668,-0.0156
Lorient,144,-0.0483,0.0700,-0.0889,0.0609,-0.1372
Auxerre,106,-0.1348,0.0830,-0.0078,0.0709,-0.1425
Nantes,177,-0.1792,0.0677,-0.0012,0.0577,-0.1805
Montpellier,144,-0.0377,0.0698,-0.1505,0.0595,-0.1882
Le Havre,102,-0.1789,0.0862,-0.0410,0.0708,-0.2199
Clermont,110,-0.2419,0.0851,-0.0803,0.0680,-0.3222
Troyes,76,-0.1721,0.3889,-0.1545,0.3442,-0.3266
Bordeaux,38,0.0176,0.1152,-0.3665,0.0996,-0.3489
Angers,144,-0.2751,0.0772,-0.0901,0.0605,-0.3651
St Etienne,72,-0.1225,0.0961,-0.3032,0.0760,-0.4257
Metz,106,-0.2505,0.0873,-0.2174,0.0657,-0.4679
Ajaccio,38,-0.4426,0.1460,-0.1948,0.0994,-0.6374
